NCT Number,Study Title,Conditions
NCT04534673,Pegylated Interferon Lambda for Treatment of COVID-19 Infection,COVID-19
NCT04445376,Effect of Physical Therapy Exercises on Cardiorespiratory Fitness Level in COVID19 Patients After Recovery.,Covid19
NCT04292327,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus,Pneumonia Caused by Human Coronavirus
NCT05184127,Evaluation of Safety & Efficacy of MIR 19 ® Inhalation Solution in Patients With Moderate COVID-19,COVID-19
NCT04428073,Therapeutic Vaccine Trial of COVID-19 for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection,COVID
NCT04686773,"Open-label, Non-randomized, Non-comparative, Phase II Study of Safety and Immunogenicity of Combination of AZD1222 and rAd26-S for COVID-19 Prevention",COVID-19
NCT05852873,PAxlovid loNg cOvid-19 pRevention triAl With recruitMent In the Community in Norway,"Post COVID-19 Condition, Unspecified|SARS-CoV2 Infection|COVID-19"
NCT04498273,COVID-19 Positive Outpatient Thrombosis Prevention in Adults Aged 40-80,COVID-19
NCT04392973,FAvipiravir and HydroxyChloroquine Combination Therapy,COVID19
NCT05813873,The Use of Incentive Spirometry in Adult Patients Hospitalised in a Rehabilitation Center With Long-covid Syndrome,Long COVID
NCT06097273,"A Study of mRNA-1083 (SARS-CoV-2 and Influenza) Vaccine in Healthy Adult Participants, ≥50 Years of Age",SARS-CoV-2|Influenza
NCT05532995,Responses to CPET in Subjects With Persistent Exercise Intolerance After COVID-19: an Open-Source Exercise Network,COVID-19
NCT04388514,Blood Ozonization in Patients With SARS-CoV-2 Respiratory Failure,SARS-CoV-2 Respiratory Failure
NCT04329195,ACE Inhibitors or ARBs Discontinuation in Context of COVID-19 Pandemic,History of Cardiovascular Disease Treated With RAS Blockers and With SARS-CoV-2 Infection
NCT04517695,Blood Volume Assessment in COVID-19 and Bacterial Sepsis,Covid19|Acute Respiratory Distress Syndrome|Bacterial Sepsis|Bacterial Infections
NCT04724395,Disability Following Hospitalization in People of Working-age Surviving SARS-CoV-2 Infection - COVID-19,COVID-19
NCT04313023,The Use PUL-042 to Reduce the Infection Rate and Progression to COVID-19 in Adults Exposed to SARS-CoV-2,COVID-19
NCT04482595,BIO 300 Oral Suspension in Previously Hospitalized Long COVID Patients,COVID-19|Long COVID|Pulmonary Fibrosis|Post-acute Respiratory Complications of COVID-19
NCT04447495,Self-sampling for the Study of COVID-19,Coronavirus
NCT04332094,Clinical Trial of the Use of Tocilizumab for Treatment of SARS-CoV-2 Infection (COVID-19),COVID-19
NCT04979091,Sex Hormone Dysregulations Are Associated With Critical Illness in COVID-19 Patients,Covid19|Critical Illness
NCT05131594,Evaluating the Response of the Immune System of People with Long COVID (post SARS-CoV-2),COVID-19
NCT05052294,COVID-19 Antibody Responses in Cystic Fibrosis,Cystic Fibrosis
NCT04603729,Comparison of Efficacy of Dexamethasone and Methylprednisolone in Moderate to Severe Covid 19 Disease,Covid 19 Disease
NCT04885491,"A Study to Evaluate the Efficacy, Safety and Tolerability of PDNO Infusion in COVID-19 Patients With Acute Pulmonary Hypertension",Pulmonary Hypertension|COVID-19
NCT05729191,Evaluation of the Acceptance of the Anti-COVID-19 Vaccine Offer Among Pregnant Women,Pregnant Women|COVID 19 Vaccine|Vaccination Hesitancy
NCT04932876,The Response of the Immune System of Patients With End Stage Kidney Disease on Dialysis and Kidney Transplant Recipients Vaccinated for COVID-19,End Stage Kidney Disease|Kidney Transplantion|Covid19|Vaccination
NCT04481360,Evaluation of Clinical Characteristics and Outcome of COVID19 Pneumonia in Assiut University Hospital,Coronavirus
NCT04494776,SARS-COV-2 Infection in Kidney Transplant Recipients: a Brazilian Multicenter Study,SARS-CoV-2 Infection|Kidney Transplant Infection
NCT05331976,A Clinical Evaluation of Proof Diagnostics Test System Including the Proof Diagnostics Reader and COVID-19 Test,COVID-19|Asymptomatic COVID-19
NCT04386460,Covid-19 and Prevention of Malnutrition After Confinement by Dentists,Nutrition Poor|Infection Viral|Oral Disease
NCT04726176,COVID-19 and the Brain,Covid19|Brain|Neurocognition|fMRI
NCT06911476,From Inflammation to Remodelling Towards Personalized Diagnosis in Post-acute Sequelae of COVID-19,PASC Post Acute Sequelae of COVID 19|Long COVID|Long Covid-19|PASC|FAPI|FAP|Fibroblast Activation Protein Inhibitor|Fibroblast|Restrictive Lung Disease
NCT04738760,Clinical Outcomes of High Dose Vitamin D Versus Standard Dose in COVID-19 Egyptian Patients,Covid19|Corona Virus Infection|Cytokine Storm|Vitamin D Deficiency
NCT04909476,Tracheal Intubation in COVID-19 Patients,COVID-19 Pneumonia|Tracheal Intubation
NCT06850376,COVID Feel Good-An Easy Self-Help Virtual Reality Protocol to Overcome the Psychological Burden of Coronavirus,COVID-19 Pandemic Psychological Impact|Stress|Anxiety Disorders|Depression|Social Isolation
NCT04334629,LIBERATE Trial in COVID-19,Coronavirus|Respiratory Distress Syndrome|SARS-CoV Infection
NCT05760092,The Use of Photobiomodulation in the Treatment of Oral Complaints of Long COVID-19.A Randomized Controlled Trial.,Xerostomia|COVID-19|Long COVID|Persistent COVID-19
NCT04481529,COVID-19 Serological Status of Hospital Staff Working or Not in the COVID-19 Sector,Infection Viral
NCT04425629,"Safety, Tolerability, and Efficacy of Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies for the Treatment of Ambulatory Adult and Pediatric Patients With COVID-19",COVID-19
NCT05000229,Residual Symptoms After Coronavirus Disease (COVID-19) in Lithuanian Population,Post-Covid Syndrome
NCT04887129,Testing for COVID-19 in High Risk Children With Intellectual and Developmental Disabilities (COV-IDD),Covid19
NCT04565392,Remotely-conducted Trial of Famotidine vs Placebo for Patients at Home With Coronavirus (COVID) of 2019 (COVID-19),Covid19
NCT04349592,Hydroxychloroquine With or Without Azithromycin for Virologic Cure of COVID-19,Covid19
NCT04909892,"Study of Allogeneic Adipose-Derived Mesenchymal Stem Cells to Treat Post COVID-19 ""Long Haul"" Pulmonary Compromise",Covid19
NCT04446429,Anti-Androgen Treatment for COVID-19,COVID-19|SARS-CoV2|Androgenetic Alopecia|Prostate Cancer|Benign Prostatic Hyperplasia|SARS (Severe Acute Respiratory Syndrome)
NCT04407429,Vienna Versus SARS-CoV-2 Virus Study,SARS-CoV-2|COVID-19
NCT05449392,Topical Antibacterial Agents for Prevention of COVID-19,COVID-19|SARS-CoV2 Infection
NCT04554992,Convalescent Plasma for the Treatment of COVID-19 (Coronavirus Disease 2019),Covid19
NCT04682873,"A Clinical Study to Assess the Efficacy and Safety of Amizon® Max in the Treatment of Moderate Covid-19, Caused by the SARS-CoV-2 Virus",Covid-19 Disease
