NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT04534673,Pegylated Interferon Lambda for Treatment of COVID-19 Infection,https://clinicaltrials.gov/study/NCT04534673,,ACTIVE_NOT_RECRUITING,"A randomized, open-label, 2 arm, pilot trial of Lambda 180 mcg administered subcutaneously once weekly, for up to two weeks (2 injections at most), in addition to standard supportive care, compared to standard supportive care alone, in a population of COVID-19 infected patients.patients will be randomized according to 1:1 ratio to one of the 2 trial arms: Lambda 180 mcg S.C + standard care (intervention arm) or standard care only (control arm).",NO,COVID-19,DRUG: Lambda 180 mcg S.C,"Viral shedding in days since initial diagnosis, The duration of viral shedding in days since initial diagnosis, as determined by RT-PCR to COVID-19., 21 days|Rate of adverse events and severe adverse events, Rate of treatment-emergent and treatment-related severe adverse events (SAEs), 21 days from entry","Time to clinical recovery, the time (in hours) from initiation of trial treatment (Lambda or standard care) until normalization of fever, respiratory rate, and oxygen saturation, and alleviation of cough, sustained for at least 72 hours., 72 Hours|Rate of non-invasive or mechanical ventilation, Requirement for non-invasive (bipap) or mechanical ventilation, 28 Days|Length of hospital stay, length of hospital stay from admission to discharge, 28 Days|All-cause mortality, All-cause mortality, At day 28 following admission to the hospital|Undetectable COVID-19 virus levels, Rate of undetectable COVID-19 virus levels at different days, At days 7,14 and 21 from admission",,Soroka University Medical Center,,ALL,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,0129-20-SOR|SCRC200006,2020-04-07,2023-12-31,2024-12-31,2020-09-01,,2023-05-06,"Soroka UMC, Be'er Sheva, Israel",
NCT04445376,Effect of Physical Therapy Exercises on Cardiorespiratory Fitness Level in COVID19 Patients After Recovery.,https://clinicaltrials.gov/study/NCT04445376,,COMPLETED,"In some patients, lung function declined by about 20 to 30% after recovery. Computer tomography of COVID-19 patients revealed a ground glass opacity in both lungs. We will measure the Cardiorespiratory fitness according to American College of Sports medicine guidline and provide physiotherapy exercise to the patients to measure the improvement.",NO,Covid19,OTHER: Physical Exercises,"6 minute walk test, To measure the cardio-respiratory fitness., 5 weeks|Modified Borg Dyspnea Scale, It starts at number 0 where your breathing is causing you no difficulty at all and progresses through to number 10 where your breathing difficulty is maximal., 5 weeks","SF-36 QUESTIONNAIRE, The SF-36 questionnaire consists of 36 items, which are used to calculate eight subscales: physical functioning (PF), role physical (RP), bodily pain (BP), general health (GH), vitality (VT), social functioning (SF), role emotional (RE), and mental health (MH). The first four scores can be summed to create the physical composite score (PCS), while the last four can be summed to create the mental composite score (MCS). Scores for the SF-36 scales range between 0 and 100, with higher scores indicating a better HRQOL, 5 weeks",,Government College University Faisalabad,,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,313,2020-07-03,2020-09-10,2020-10-03,2020-06-24,,2020-10-08,"Bin Inam Rehabilitation Center., Faisalābad, Punjab, 38000, Pakistan",
NCT04292327,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus,https://clinicaltrials.gov/study/NCT04292327,2019-nCoV,UNKNOWN,"Objects: The purpose of this study was to observe the characteristics of morbidity, disease progression and therapeutic effects of 2019-novel coronavirus pneumonia patients with different clinical types.Method: A single center, retrospective and observational study was used to collect COVID-19 patients admitted to Wuhan Infectious Diseases Hospital (Wuhan JinYinTan Hospital) from January 2020 to March 2020. The general information, first clinical symptoms, hospitalization days, laboratory examination, CT examination, antiviral drugs, immune enhancers, traditional Chinese medicine treatment and other clinical intervention measures were recorded, and the nutritional status and prognosis of the patients were recorded. confirm COVID-19 's disease progression, clinical characteristics, disease severity and treatment effects. To compare the characteristics of disease progression, clinical features, disease severity and therapeutic effect of different types of COVID-19.Outcomes: The characteristics of disease progression, clinical features, disease severity and therapeutic effect of different types of COVID-19.Conclusion: The characteristics of disease progression, clinical features and therapeutic effect of different types of COVID-19.",NO,Pneumonia Caused by Human Coronavirus,,"Mortality, The mortality of COVID-19 in 28 days, 28 day|The time interval of Nucleic acid detection become negative, The time interval of COVID-19 form nucleic acid confirmed to the nucleic acid detection turn into negative., 28 day",,,Fujian Provincial Hospital,,ALL,"ADULT, OLDER_ADULT",,400,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,KY-2020-24.01,2020-01-01,2020-04-30,2020-07-31,2020-03-03,,2020-03-03,"Fujian Provincial Hospital, Fuzhou, Fujian, 350000, China",
NCT05184127,Evaluation of Safety & Efficacy of MIR 19 ® Inhalation Solution in Patients With Moderate COVID-19,https://clinicaltrials.gov/study/NCT05184127,,COMPLETED,"This is Phase 2 multi-center controlled randomized study to assess the efficacy and safety of MIR 19® via 14 days of treatment of participants with symptomatic moderate COVID-19.The purpose of this study is to evaluate the efficacy, safety and daily dose of MIR 19 ® for the treatment of the hospitalized patients with infection caused by SARS-CoV-2 (COVID-19) who did not require treatment in the intensive care unit.Based on preclinical data studying antiviral effect of MIR 19® in vitro and in vivo (Khaitov M.R. et all 2021), the investigators hypothesized that SARS-CoV-2 inhibition with MIR 19® could potentially reduce pulmonary inflammation, thereby improving COVID-19 patient outcomes.",NO,COVID-19,DRUG: MIR 19 ®|COMBINATION_PRODUCT: Standard COVID-19 therapy,"Relief of fever, Reduction in axillary temperature below 37 °C without antipyretic drugs use, Within 14 days|Respiratory rate, Respiratory rate ≤ 22 per minute, Within 14 days|Oxygen saturation, SpO2 \> 94%, Within 14 days|Severity of cough, Severity in a patient's cough no more than 1 point on a four-point scale, Within 14 days",,,National Research Center - Institute of Immunology Federal Medical-Biological Agency of Russia,St. Petersburg Research Institute of Vaccines and Sera,ALL,"ADULT, OLDER_ADULT",PHASE2,156,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,SiCoV/KK46- 2021_CSR,2021-04-27,2021-09-07,2021-09-07,2022-01-11,,2022-01-11,"NRC Institute of Immunology FMBA, Moscow, 115478, Russian Federation",
NCT04428073,Therapeutic Vaccine Trial of COVID-19 for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection,https://clinicaltrials.gov/study/NCT04428073,,UNKNOWN,GC004 is a Phase I trial to evaluate the safety and the immune responses of a therapeutic vaccine in SARS-CoV-2 infected patients. Covid-19 confirmed patients with mild or no symptoms will be enrolled sequentially into low dose and high dose groups. Following the vaccination subjects who received at least one vaccination will be followed for safety through week 26.,NO,COVID,BIOLOGICAL: Covax-19™,"To evaluate the safety of a therapeutic Covid-19 vaccine in participants by measuring the severity of local and systemic adverse events and laboratory abnormalities., Frequency and severity of adverse events, laboratory abnormalities, local and systemic reactogenicity, signs and symptoms after vaccinations., 26 weeks","To evaluate the immunogenicity of a therapeutic Covid-19 vaccine in participants by measuring CD8+ T cells immune response, Magnitude of IFN-γ producing CD8+ T cells to SARS-CoV-2 nucleocapsid peptides pools after vaccinations., 6 weeks|Virologic response after vaccination, Detection of SARS-CoV-2 by RT-PCR in respiratory tract specimens at week 0, 1, 2, 3, and 4., 4 weeks|Clinical outcome and progression after vaccinations, Number of participants with moderate, severe or critical Covid-19 at week 6., 6 weeks",,GeneCure Biotechnologies,,ALL,ADULT,PHASE1,32,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,GC004,2020-07,2021-07,2021-12,2020-06-11,,2020-06-11,,
NCT04686773,"Open-label, Non-randomized, Non-comparative, Phase II Study of Safety and Immunogenicity of Combination of AZD1222 and rAd26-S for COVID-19 Prevention",https://clinicaltrials.gov/study/NCT04686773,,COMPLETED,The purpose of the study is to assess safety and immunogenicity of heterologous booster vaccine containing combination of AZD1222 and rAd26-S (one of components of Gam-COVID-Vac vaccine) in adult subjects aged ≥ 18 years old to prevent COVID-19 spread.,NO,COVID-19,BIOLOGICAL: AZD1222|BIOLOGICAL: rAd26-S,"Antibody seroconversion rate to SARS CoV-2 Spike protein 29 days after the second vaccination., Antibody seroconversion rate (≥4-fold increase from baseline) to SARS CoV-2 Spike protein 29 days after the second vaccination., Day 57","Incidence of local and systemic solicited Adverse Events (AEs) for 7 days post each dose, Number of Participants Reporting local (Pain at the site of injection, Erythema/hyperemia at the site of injection, Tenderness, Induration/swelling at the site of injection) and systemic (Fever \> 37.8°C, Chills, Muscle pains, Fatigue, Headache, Malaise, Nausea, Vomiting) Solicited Adverse Events for 7 days following each vaccination (Day 1 through Day 7 for first vaccination and Day 29 through Day 35 for second vaccination)., from Day 1 to Day 8 and From Day 29 to Day 36|Incidence of unsolicited AEs, serious adverse events (SAEs) and AEs of special interest, Number of Participants Reporting unsolicited AEs, SAEs and AESIs through 29 days post each vaccination (i.e. up to day 29 after the first vaccination and day 57 after second vaccination)., up to day 29, up to day 57|Antibody seroconversion rate to SARS CoV-2 Spike protein 29 days after the first vaccination., The proportion of participants who have a post treatment seroresponse (defined as: ≥ 4 fold rise in titres from Day 1 baseline value) to the SARS CoV-2 Spike protein 29 days post first vaccination., day 29|Antibody seroconversion rate against receptor-binding domain antigen 29 days after each vaccination., The proportion of participants with post treatment seroresponse (defined as: ≥ 4-fold rise in titres from Day 1 baseline value) to receptor-binding domain antigen 29 days post each vaccination., day 29, 57|Change from baseline Geometric mean titre (GMT) values for evaluation of immunogenicity for Spike protein and receptor-binding receptor domain antigens, Сhange from baseline GMT values for evaluation of immunogenicity for Spike protein and receptor-binding receptor domain antigens at day 15, 29, 57, 180., Day 1, 15, 29, 57, 180|Change from baseline Geometric mean fold rise (GMFR) values for evaluation of immunogenicity for Spike protein and receptor-binding receptor domain antigens, Сhange from baseline GMFR values for evaluation of immunogenicity for Spike protein and receptor-binding receptor domain antigens at Day 15, 29, 57, 180., Day 1, 15, 29, 57, 180|Antibody seroconversion rate of neutralizing antibodies to SARS-CoV-2 antigen - 29 days after each vaccination, The proportion of participants with post treatment seroresponse (defined as: ≥ 4-fold rise in titres day from Day 1 baseline value to 29 days post each vaccination - Day 29 and Day 57), as measured by SARS-CoV-2 neutralising antibodies, day 29, 57|Change from baseline GMT values for assessment of immunogenicity based of neutralizing antibodies to SARS-CoV-2, Сhange from baseline GMT values for assessment of immunogenicity based of neutralizing antibodies to SARS-CoV-2 at Day 15, 29, 57, 180., Day 1, 15, 29, 57, 180|Change from baseline GMFR values for assessment of immunogenicity based of neutralizing antibodies to SARS-CoV-2, Сhange from baseline GMFR values for assessment of immunogenicity based of neutralizing antibodies to SARS-CoV-2 at Day 15, 29, 57, 180., Day 1, 15, 29, 57, 180",,R-Pharm,AstraZeneca|Russian Direct Investment Fund|The Gamaleya National Center of Epidemiology & Microbiology,ALL,"ADULT, OLDER_ADULT",PHASE2,100,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,CV03872092,2021-03-05,2021-10-30,2022-03-18,2020-12-29,,2022-06-03,"Public legal entity ""Baku Health Center"", Baku, Azerbaijan",
NCT05852873,PAxlovid loNg cOvid-19 pRevention triAl With recruitMent In the Community in Norway,https://clinicaltrials.gov/study/NCT05852873,PanoramicNOR,RECRUITING,"The goal of this clinical trial is to compare treatment with oral Paxlovid (nirmatrelvir/ritonavir) and placebo for acute COVID-19 as an intervention to prevent long-COVID (post-COVID-19 condition) in adults aged 18-64 years old.The main question it aims to answer is:Does treatment with Paxlovid for acute COVID-19 reduce the prevalence of long-COVID compared to placebo.Participants with acute COVID-19, documented with positive lateral flow test or PCR, within the last 5 days will be randomised to take either Paxlovid or placebo. All participants will receive standard of care in addition. Participants will respond to electronic questionnaires at 14 time points during follow-up. The primary outcome is presence of long-COVID symptoms at 3 months follow-up.Researchers will compare participants who received Paxlovid and placebo to see if Paxlovid treatment can prevent the occurrence of long-COVID.",NO,"Post COVID-19 Condition, Unspecified|SARS-CoV2 Infection|COVID-19",DRUG: Nirmatrelvir/ritonavir|DRUG: Placebo,"Symptoms of long-COVID, a dichotomous variable for presence of any of the three most important long-COVID symptoms: (i) fatigue, (ii) dyspnea and (iii) cognitive symptoms (defined as memory and/or concentration problems)., Change in symptoms from baseline to 3, 6 and 12 months follow-up","Symptoms individually and grouped by organ system, All individual symptoms separately, and grouped by systems (systemic symptoms, chest-symptoms, cognitive, other neuropsychiatric symptoms)., Change in symptoms from baseline to 3, 6, 12 and 24 months follow-up|Graded responses for symptoms and symptom constellations, Graded responses for separate symptoms and symptom constellations, including an ordinal variable graded 0-3 for the presence of the 3 symptoms in the primary outcome., Change in symptoms from baseline to 3, 6, 12 and 24 months follow-up|Risk factors for long-COVID, Analysis of patient characteristics and other factors that may affect the occurrence of long-COVID, Up to 24 months|Severity of acute disease, Severity of acute disease using an 8-step scale (1 - no limitation of activities, 2 - limitations of activities, not hospitalised, 3 - hospitalised not requiring specific treatment, 4 - hospitalised, requiring medical treatment, but not supplemental oxygen, 5 - need of supplemental oxygen, 6 - need of non-invasive ventilatory support (CPAP, BiPAP), 7 - need ov invasive ventilation, 8 - death, 28 days|Hospitalisation, Hospitalisation - binary outcome, 28 days|Severe adverse events, Severe adverse events, Up to 24 months|Absence from work, Absence from work, full or partial sick leave, Up to 24 months|Societal costs, Societal cost / economic analysis, including estimated cost of absence from work/school, hospitalizations, deaths, QALYs lost according to EQ-5D-5L, and more, Up to 24 months|Symptoms of long-COVID, a dichotomous variable for presence of any of the three most important long-COVID symptoms: (i) fatigue, (ii) dyspnea and (iii) cognitive symptoms (defined as memory and/or concentration problems)., Change in symptoms from baseline to 3, 6 and 12 months follow-up",,Haukeland University Hospital,University of Bergen|Oslo University Hospital|University of Oslo|St. Olavs Hospital|Norwegian University of Science and Technology,ALL,ADULT,PHASE3,2000,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: PREVENTION",REC-SE-578741,2023-05-12,2024-04,2026-04,2023-05-10,,2023-10-18,"Haukeland University Hospital, Bergen, Vestland, 5021, Norway","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/73/NCT05852873/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/73/NCT05852873/SAP_002.pdf"
NCT04498273,COVID-19 Positive Outpatient Thrombosis Prevention in Adults Aged 40-80,https://clinicaltrials.gov/study/NCT04498273,,TERMINATED,A multi-center adaptive randomized placebo-controlled platform trial evaluating the efficacy and safety of anti-thrombotic strategies in COVID-19 adults not requiring hospitalization at time of diagnosis,YES,COVID-19,DRUG: Apixaban 2.5 MG|DRUG: Apixaban 5MG|DRUG: Aspirin|DRUG: Placebo,"Hospitalization for Cardiovascular/Pulmonary Events, The primary outcome will be a composite endpoint of need for hospitalization for cardiovascular/pulmonary events, symptomatic deep venous thrombosis, pulmonary embolism, arterial thromboembolism, myocardial infarction, ischemic stroke, and all-cause mortality for up to 45 days after initiation of assigned treatment., 45 days",,,Frank C Sciurba,"National Heart, Lung, and Blood Institute (NHLBI)",ALL,"ADULT, OLDER_ADULT",PHASE3,657,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",ACTIV4-Outpatient,2020-09-07,2021-08-05,2021-08-05,2020-08-04,2022-02-17,2022-02-17,"University of Southern California, Los Angeles, California, 90033, United States|Stanford University School of Medicine, Palo Alto, California, 94304, United States|Zuckerberg San Francisco General, San Francisco, California, 94143, United States|Olive View-UCLA Medical Center, Sylmar, California, 91342, United States|Pine Ridge Family Medicine, Colorado Springs, Colorado, 80924, United States|Life Tree Health, Inc., Washington, District of Columbia, 20020, United States|Midland Florida Clinical Research Center, LLC, DeLand, Florida, 23720, United States|University of Florida at Gainesville, Gainesville, Florida, 32611, United States|Vital Pharma Research, Hialeah, Florida, 33016, United States|Advanced Research for Health Improvement, LLC, Immokalee, Florida, 34142, United States|University of Floridia at Jacksonville, Jacksonville, Florida, 32209, United States|Lakeland Regional, Lakeland, Florida, 33805, United States|Total Research Group LLC, Miami, Florida, 33126, United States|Jackson Memorial, Miami, Florida, 33136, United States|Well Pharma Medical Research, Miami, Florida, 33173, United States|Innovation Clinical Trials, Palmetto Bay, Florida, 33157, United States|Bond Community Health Center, Tallahassee, Florida, 32301, United States|Tallahassee Memorial, Tallahassee, Florida, 32308, United States|USF Tampa General Hospital, Tampa, Florida, 33606, United States|Alliance Clinical Research, Tampa, Florida, 33615, United States|Hawaii Pacific Health, Honolulu, Hawaii, 96813, United States|Fox Valley Clinical Research Center, LLC, Aurora, Illinois, 60506, United States|UIC - Mile Square, Chicago, Illinois, 60608, United States|Jesse Brown VA, Chicago, Illinois, 60612, United States|University of Illinois at Chicago, Chicago, Illinois, 60612, United States|Olivo Wellness Medical Center, Chicago, Illinois, 60618, United States|University of Chicago, Chicago, Illinois, 60637, United States|OSF Saint Francis Medical Center, Peoria, Illinois, 61637, United States|Ascension Via Christi, Wichita, Kansas, 67214, United States|University Medical Center New Orleans, New Orleans, Louisiana, 70112, United States|Jadestone Clinical Research, LLC, Gaithersburg, Maryland, 20877, United States|Brigham & Women's Hospital, Boston, Massachusetts, 02115, United States|GFC of Southeastern Michigan, Detroit, Michigan, 48202, United States|SRI International, Plymouth, Michigan, 48170, United States|Metro Health-University of Michigan Health, Wyoming, Michigan, 49519, United States|Raritan Bay Primary Care and Cardiology Associates, Matawan, New Jersey, 07747, United States|G&S Medical Associates, LLC, Paterson, New Jersey, 07514, United States|University of New Mexico, Albuquerque, New Mexico, 87131, United States|Montefiore Medical Center, Bronx, New York, 10467, United States|Strong Memorial, Rochester, New York, 14642, United States|Spinal Pain and Rehab Medicine, Yonkers, New York, 10701, United States|Duke, Durham, North Carolina, 27701, United States|Peters Medical Research, High Point, North Carolina, 27262, United States|The Heart and Medical Center, Durant, Oklahoma, 74701, United States|Ascension St. John Clinical Research Institute, Tulsa, Oklahoma, 74104, United States|UPMC Passavant Cranberry, Cranberry, Pennsylvania, 16066, United States|UPMC McKeesport, McKeesport, Pennsylvania, 15132, United States|UPMC East, Monroeville, Pennsylvania, 15146, United States|UPMC Magee, Pittsburgh, Pennsylvania, 15213, United States|UPMC Presby, Pittsburgh, Pennsylvania, 15213, United States|UPMC Mercy, Pittsburgh, Pennsylvania, 15219, United States|Preferred Primary Care Physicians, Pittsburgh, Pennsylvania, 15220, United States|UPMC Shadyside, Pittsburgh, Pennsylvania, 15232, United States|UPMC Passavant McCandless, Pittsburgh, Pennsylvania, 15237, United States|Preferred Primary Care Physicians, Inc, Pittsburgh, Pennsylvania, 15243, United States|Preferred Primary Care Physicians, Pittsburgh, Pennsylvania, 15243, United States|Preferred Primary Care Physicians, Uniontown, Pennsylvania, 15401, United States|Pharma Tex Research, Amarillo, Texas, 79109, United States|Ascension Seton Medical Center, Austin, Texas, 78752, United States|Baptist Beaumont, Beaumont, Texas, 77030, United States|McGoven Medical School - UT- Houston, Houston, Texas, 77030, United States|Diversifield Medical Practices, Houston, Texas, 77057, United States|Next Level Urgent Care, Houston, Texas, 77057, United States|Mesquite Regional Internal Medicine, Mesquite, Texas, 75149, United States|University of Texas at Tyler, Tyler, Texas, 75708, United States|University of Texas at Rio Grande Valley, Weslaco, Texas, 78596, United States|Intermountain Healthcare, Murray, Utah, 84107, United States|Community Care of Clay, Clay, West Virginia, 25043, United States|University Healthcare Physicians, Harpers Ferry, West Virginia, 25425, United States|Community Care of Weston, Weston, West Virginia, 26452, United States|Gundersen Health System, La Crosse, Wisconsin, 54601, United States","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/73/NCT04498273/Prot_001.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/73/NCT04498273/SAP_002.pdf"
NCT04392973,FAvipiravir and HydroxyChloroquine Combination Therapy,https://clinicaltrials.gov/study/NCT04392973,FACCT,COMPLETED,"This study is a randomized, open-label, parallel groups multi-centered trial were participants are assigned to either an intervention arm ( a combination of Favipiravir and Hydroxychloroquin) or standard of care.",NO,COVID19,COMBINATION_PRODUCT: Favipiravir and Hydroxychloroquine,"Clinical Improvement, The primary endpoint is the time to clinical improvement, defined as the time from the randomization to an improvement of two points (from the status at randomization) on a seven-category ordinal scale or live discharge from the hospital, whichever came first., 28 days","Viral shedding, PCR test negative conversion days from positive to negative., 28 days",,King Abdullah International Medical Research Center,,ALL,"ADULT, OLDER_ADULT",NA,268,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,RC20/174,2020-05-21,2021-01-26,2021-04-26,2020-05-19,,2021-08-20,"King Abdulaziz Hospital - Al Ahsa, Hasa, Eastern Region, Saudi Arabia|AlMadina General Hospital, Al Madīnah, Saudi Arabia|Al-Qatif Central Hospital, Al-Qatif, Saudi Arabia|Imam Abdulrahman Al Faisal Hospital - Dammam, Dammam, Saudi Arabia|King Abdulaziz Medical City, Jeddah, Saudi Arabia|King Abdulaziz Hospital - Makkah, Mecca, Saudi Arabia|King Abdulaziz Medical City, National Guard Health Affairs, Riyadh, 11426, Saudi Arabia|Imam Abdulrahman Alfaisal Hospital, Riyadh, Saudi Arabia",
NCT05813873,The Use of Incentive Spirometry in Adult Patients Hospitalised in a Rehabilitation Center With Long-covid Syndrome,https://clinicaltrials.gov/study/NCT05813873,,RECRUITING,"The aim of this clinical trial is to investigate the efficacy of Triflow in the rehabilitation of patients with long covid syndrome hospitalised in a rehabilitation center. Participants will be divided into 2 groups and follow their exercise regime until the day they are discharged from the rehabilitation center. The intervention group will participate in a rehabilitation program which includes upper and lower limbs exercises, cycle ergometer, walking and the use of triflow. The control group will participate in the same program but without the Triflow.",NO,Long COVID,OTHER: Triflow|OTHER: Control,"Barthel Index, Measures performance in activities of daily living (eg.stairs, dressing/undressing, washing,eating). Score from 0 to 100, where 0 indicates total dependence and 100 total independence with activities of daily living., on admission day|Barthel Index, Measures performance in activities of daily living (eg.stairs, dressing/undressing, washing,eating). Score from 0 to 100, where 0 indicates total dependence and 100 total independence with activities of daily living., on discharge day|Dyspnoea (Medical Research Council Dyspnoea Scale), Assess dyspnoea via MRC dyspnoea scale. The participants grade their dyspnoea on a scale of 1 to 5. The bigger the number, the worse their dyspnoea is, on admission day|Dyspnoea (Medical Research Council Dyspnoea Scale), Assess dyspnoea via MRC dyspnoea scale. The participants grade their dyspnoea on a scale of 1 to 5. The bigger the number, the worse their dyspnoea is, on discharge day|Peak Flow Meter, Assess the respiratory function via peak flow meter. The participants will take a deep breath and blow the air out into the peak flow meter. The higher the score the better their respiratory function is, on admission day|Peak Flow Meter, Assess the respiratory function via peak flow meter. The participants will take a deep breath and blow the air out into the peak flow meter. The higher the score the better their respiratory function is, on discharge day","Number of hospitalisation days, Number of days participants stay in the rehabilitation center, on discharge day|Muscle strength (Hand Grip), Assess muscle strength for the upper extremities via hand-held dynamometer, on admission day|Muscle strength (Hand Grip), Assess muscle strength for the upper extremities via hand-held dynamometer, on discharge day|Muscle strength and endurance (30 seconds Sit to stand), Assess muscle strength for the lower extremities and endurance via 30 seconds sit to stand. The participants will have to stand up from a chair without using their arms as many times as they can in 30 seconds. The more times the better their muscle strength and endurance, on admission day|Muscle strength and endurance (30 seconds Sit to stand), Assess muscle strength for the lower extremities and endurance via 30 seconds sit to stand. The participants will have to stand up from a chair without using their arms as many times as they can in 30 seconds. The more times the better their muscle strength and endurance, on discharge day|Balance (Berg Balance), Assess via Berg Balance Questionnaire, a total of 14 items that asess balance. from 0 to 56, the higher the score the better balance a person has and has a smaller risk for falls., on admission day|Balance (Berg Balance), Assess via Berg Balance Questionnaire, a total of 14 items that asess balance. from 0 to 56, the higher the score the better balance a person has and has a smaller risk for falls., on discharge day|Cardiorespiratory fitness (Six minutes walking test), Assess the cardiorespiratory fitness via 6 minutes walking test. The participants have to walk for 6 mins independently and the distance they cover is measured. The bigger the distance the better cardiorespiratory fitness., on admission day|Cardiorespiratory fitness (Six minutes walking test), Assess the cardiorespiratory fitness via 6 minutes walking test. The participants have to walk for 6 mins independently and the distance they cover is measured. The bigger the distance the better cardiorespiratory fitness., on discharge day|Quality of life (EQ-5D-5L), Assess via EQ-5D-5L questionnaire, it has 6 components (movement,self-care, everyday activities, pain/discomfort, stress/depression, and a scale from 0 to 100 for participants to score how they perceive their health on the day( 0 indicates worst heath and 100 best health), on admission day|Quality of life (EQ-5D-5L), Assess via EQ-5D-5L questionnaire, it has 6 components (movement,self-care, everyday activities, pain/discomfort, stress/depression, and a scale from 0 to 100 for participants to score how they perceive their health on the day( 0 indicates worst heath and 100 best health), on discharge day|Fatigue (Multidimensional fatigue inventory), Assess the feeling of fatigue via Multidimensional fatigue inventory. it has 20 questions with a scale from 1(yes that is true) to 5 (no that is not true), on admission day|Fatigue (Multidimensional fatigue inventory), Assess the feeling of fatigue via Multidimensional fatigue inventory. it has 20 questions with a scale from 1(yes that is true) to 5 (no that is not true), on discharge day|Timed up and Go, Assesses mobility and fall risk. Participants have to walk 3m, the shorter the time the better their mobility, on admission day|Timed up and Go, Assesses mobility and fall risk. Participants have to walk 3m, the shorter the time the better their mobility, on discharge day",,European University Cyprus,Eden Resort Wellness Rehabilitation Center,ALL,"ADULT, OLDER_ADULT",NA,70,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,Triflow,2022-12-21,2024-12-23,2025-12-31,2023-04-14,,2024-02-20,"Eden Resort Wellness Rehabilitation Center, Larnaca, 7562, Cyprus",
